Age,Gender,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake,Workout_Frequency,Experience_Level,BMI,rep_count,avg_depth_score,avg_form_score,tempo_consistency,stability_score,left_right_asymmetry,fatigue_slope,range_of_motion,knee_valgus_risk,back_angle_risk,movement_quality_score,readiness_score,injury_risk_score,strength_potential_score,endurance_potential_score
39.0,Female,47.0,1.78,181.0,155.0,55.0,1.89,747.0,Yoga,31.7,2.3,3.0,Advanced,28.39,24,0.7229,0.8495,0.9289,0.8922,0.0826,0.306,0.7129,0.1484,0.3102,0.7755,0.7458,0.188,0.7974,0.6431
46.0,Male,40.0,1.88,168.0,131.0,69.0,2.0,672.0,,25.4,2.4,2.0,Intermediate,12.32,17,0.6784,0.7656,0.7367,0.6821,0.3027,0.3779,0.6785,0.23,0.4185,0.6498,0.5868,0.3065,0.6624,0.5482
19.0,Male,87.7,1.98,186.0,145.0,50.0,1.61,1705.0,Strength,14.1,2.3,3.0,Intermediate,15.99,18,0.8341,0.6276,0.8436,0.6198,0.1584,0.3864,0.6854,0.2467,0.4377,0.6594,0.6354,0.2938,0.6592,0.5558
56.0,Female,107.4,1.73,176.0,141.0,71.0,0.65,1564.0,Hiit,26.0,3.0,2.0,Advanced,14.48,24,0.9206,0.7773,0.8008,0.8171,0.173,0.0719,0.8349,0.1087,0.119,0.7792,0.7487,0.1304,0.7606,0.4138
19.0,Female,71.7,1.91,197.0,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4.0,Intermediate,19.09,16,0.7168,0.7314,0.6319,0.6349,0.3222,0.3184,0.6959,0.3239,0.3167,0.6244,0.5907,0.3158,0.6542,0.487
30.0,Female,90.6,1.6,161.0,125.0,52.0,1.03,1410.0,Yoga,16.0,3.5,4.0,Intermediate,13.91,20,0.7224,0.6642,0.6631,0.7123,0.1049,0.2298,0.6606,0.1931,0.2934,0.6395,0.6609,0.2077,0.6623,0.5138
23.0,Male,56.2,1.76,195.0,141.0,55.0,1.45,1195.0,Hiit,23.9,3.2,4.0,Beginner,22.61,18,0.5366,0.5941,0.4057,0.4762,0.2004,0.5633,0.5485,0.3061,0.44,0.458,0.468,0.3612,0.4741,0.4688
39.0,Female,71.3,1.77,171.0,124.0,74.0,0.69,871.0,Cardio,21.9,2.1,5.0,Beginner,14.31,12,0.4375,0.4821,0.5955,0.6013,0.2438,0.308,0.4553,0.2668,0.3657,0.4625,0.4334,0.3092,0.4829,0.4186
54.0,Female,47.7,1.56,181.0,128.0,74.0,1.5,853.0,Yoga,26.5,1.5,3.0,Beginner,23.64,13,0.6492,0.4795,0.433,0.5035,0.3747,0.415,0.5766,0.3988,0.4521,0.4586,0.4062,0.4162,0.478,0.4332
26.0,Male,129.9,1.71,196.0,136.0,74.0,1.27,931.0,Yoga,26.6,1.8,5.0,Beginner,21.04,18,0.4327,0.5777,0.4859,0.3891,0.267,0.4064,0.4704,0.3464,0.4466,0.4259,0.4027,0.3612,0.4757,0.481
22.0,Female,102.4,1.5,173.0,156.0,55.0,1.44,453.0,Hiit,17.5,1.6,4.0,Advanced,18.23,26,0.8958,0.8141,0.9627,0.7809,0.0655,0.1588,0.7798,0.1219,0.205,0.8027,0.7718,0.134,0.8377,0.6462
25.0,Male,57.2,1.82,184.0,140.0,74.0,1.15,888.0,Strength,26.9,2.6,4.0,Intermediate,15.23,14,0.8431,0.6514,0.6323,0.7426,0.2596,0.1787,0.7187,0.2284,0.263,0.6602,0.6173,0.2435,0.7009,0.5128
59.0,Male,71.8,1.5,165.0,152.0,74.0,1.94,758.0,Yoga,28.9,3.3,3.0,Beginner,16.87,15,0.6623,0.4209,0.6682,0.556,0.453,0.6108,0.5592,0.427,0.6461,0.4801,0.4329,0.5183,0.4802,0.539
18.0,Male,112.4,1.71,177.0,165.0,55.0,1.56,1044.0,Hiit,33.5,1.7,2.0,Intermediate,24.43,16,0.8048,0.7799,0.6519,0.7568,0.2902,0.5219,0.7714,0.2299,0.3442,0.6819,0.6159,0.3195,0.6564,0.4751
18.0,Male,40.0,1.72,188.0,155.0,74.0,1.51,1266.0,Cardio,26.4,2.5,2.0,Beginner,17.79,17,0.5072,0.6241,0.6628,0.6458,0.4636,0.658,0.5733,0.3585,0.4875,0.5198,0.4462,0.4658,0.473,0.4018
25.0,Female,64.3,1.65,183.0,169.0,67.0,1.28,1783.0,Cardio,20.0,3.2,2.0,Advanced,20.59,22,0.9196,0.8051,0.9523,0.7838,0.1375,0.2413,0.8129,0.1652,0.251,0.7991,0.776,0.1893,0.7782,0.5347
32.0,Male,72.4,1.74,189.0,127.0,60.0,1.4,1090.0,Yoga,16.9,1.6,2.0,Beginner,17.68,19,0.4223,0.6906,0.7321,0.4625,0.4526,0.3542,0.4982,0.4012,0.3706,0.5078,0.5001,0.3909,0.4968,0.4346
28.0,Male,62.4,1.56,193.0,141.0,55.0,2.0,861.0,Cardio,32.2,3.6,3.0,Beginner,18.61,23,0.4059,0.5036,0.4986,0.582,0.425,0.5972,0.486,0.4101,0.5913,0.4196,0.4498,0.4871,0.4384,0.5232
27.0,Female,78.6,1.65,198.0,127.0,66.0,1.61,938.0,Yoga,26.8,3.1,3.0,Beginner,17.92,15,0.6116,0.6697,0.4734,0.4932,0.3171,0.4492,0.589,0.3719,0.4465,0.513,0.4919,0.3807,0.5296,0.4647
44.0,Female,45.0,1.53,199.0,158.0,50.0,0.7,930.0,Strength,21.9,3.6,4.0,Beginner,27.74,17,0.6528,0.5351,0.4856,0.4462,0.4321,0.5221,0.5487,0.4861,0.4461,0.4619,0.4861,0.4717,0.4553,0.3736
20.0,Female,103.4,1.53,180.0,166.0,56.0,1.28,631.0,Hiit,23.0,3.0,4.0,Beginner,19.18,10,0.5394,0.4552,0.5668,0.5173,0.4132,0.6116,0.4624,0.3899,0.5373,0.4306,0.4398,0.4777,0.4344,0.469
51.0,Male,79.2,1.85,178.0,147.0,51.0,1.52,1355.0,Strength,23.2,2.0,4.0,Beginner,18.95,19,0.7033,0.5429,0.5979,0.6514,0.3067,0.4523,0.6405,0.3101,0.4211,0.5534,0.5283,0.369,0.5664,0.5354
35.0,Male,75.7,1.61,192.0,147.0,52.0,0.92,1211.0,Strength,21.2,2.4,3.0,Intermediate,23.19,17,0.7605,0.7191,0.8305,0.634,0.135,0.2569,0.6801,0.2214,0.2811,0.6777,0.6859,0.2218,0.662,0.4713
21.0,Male,76.8,1.75,166.0,125.0,74.0,1.56,1152.0,Strength,25.1,2.7,3.0,Beginner,16.66,15,0.5838,0.6637,0.7056,0.6253,0.3176,0.4059,0.597,0.2779,0.3611,0.5744,0.5213,0.3317,0.5711,0.5
48.0,Female,112.6,1.69,160.0,162.0,63.0,0.89,1482.0,Cardio,22.6,2.5,4.0,Intermediate,12.32,18,0.672,0.6303,0.8275,0.6151,0.1238,0.2899,0.6118,0.1652,0.324,0.6221,0.5934,0.2241,0.6234,0.505
18.0,Male,73.7,1.78,192.0,154.0,73.0,1.18,851.0,Strength,27.4,2.6,2.0,Intermediate,21.08,20,0.7542,0.8085,0.7918,0.8074,0.2808,0.3032,0.7797,0.208,0.2377,0.7266,0.6761,0.248,0.696,0.4536
18.0,Female,84.0,1.71,194.0,148.0,52.0,0.92,621.0,Strength,28.3,3.4,3.0,Advanced,17.99,30,0.9869,0.9373,0.8676,0.8128,0.1246,0.1355,0.9214,0.1642,0.0991,0.8586,0.8571,0.1286,0.854,0.5202
28.0,Male,68.0,1.7,174.0,155.0,68.0,0.74,1464.0,Yoga,17.0,2.3,3.0,Intermediate,21.67,17,0.7502,0.6685,0.5725,0.76,0.1207,0.296,0.7111,0.1462,0.2748,0.6404,0.6085,0.2076,0.625,0.4024
30.0,Female,54.3,1.82,185.0,168.0,66.0,1.4,1415.0,,25.4,3.6,3.0,Beginner,26.4,11,0.4187,0.5105,0.3868,0.5598,0.4967,0.4842,0.4802,0.3986,0.4265,0.4007,0.425,0.4535,0.4195,0.4441
18.0,Female,42.8,1.89,194.0,162.0,73.0,2.0,736.0,,22.5,1.5,3.0,Intermediate,18.54,26,0.733,0.6397,0.6368,0.8329,0.2141,0.3844,0.7106,0.158,0.4085,0.6435,0.5619,0.2751,0.6717,0.5771
49.0,Female,102.4,1.65,185.0,148.0,68.0,1.27,980.0,Cardio,34.8,2.0,5.0,Beginner,15.52,10,0.4973,0.4031,0.6097,0.7154,0.2881,0.5834,0.5096,0.3014,0.4901,0.4655,0.4044,0.4123,0.4724,0.4777
42.0,Female,95.5,1.95,168.0,125.0,72.0,1.91,632.0,Hiit,26.1,2.0,4.0,Beginner,12.32,20,0.5537,0.6788,0.3868,0.5565,0.3708,0.3793,0.5587,0.3268,0.4799,0.4964,0.4352,0.3707,0.565,0.5456
27.0,Female,58.7,1.98,199.0,145.0,52.0,2.0,1119.0,Cardio,23.0,2.7,2.0,Advanced,18.99,22,0.8443,0.898,0.8945,0.9721,0.1002,0.3403,0.8252,0.1156,0.3079,0.8323,0.8019,0.1842,0.8305,0.6099
24.0,Female,86.5,1.65,196.0,169.0,59.0,1.08,771.0,Cardio,27.3,2.1,3.0,Beginner,12.9,12,0.5306,0.5125,0.6369,0.5994,0.3696,0.4167,0.4931,0.3105,0.399,0.4883,0.4648,0.3775,0.4753,0.4202
44.0,Female,63.6,1.78,167.0,129.0,74.0,1.34,1165.0,Yoga,10.7,3.4,4.0,Beginner,15.73,13,0.559,0.5756,0.449,0.4495,0.3005,0.5104,0.4755,0.3349,0.4508,0.4482,0.4214,0.3877,0.4744,0.4493
52.0,Male,58.7,1.58,169.0,131.0,53.0,1.14,900.0,Hiit,28.5,3.3,3.0,Beginner,19.62,16,0.5951,0.506,0.521,0.5858,0.2986,0.5152,0.5064,0.2856,0.3998,0.477,0.4974,0.3727,0.4613,0.4106
49.0,Female,56.6,1.75,198.0,120.0,72.0,1.12,1767.0,Yoga,23.6,2.6,2.0,Intermediate,34.37,23,0.747,0.862,0.6587,0.6831,0.2279,0.3962,0.6526,0.351,0.2198,0.6771,0.5911,0.2883,0.6562,0.3636
36.0,Female,40.0,1.71,178.0,169.0,69.0,1.3,1519.0,Hiit,27.5,2.7,4.0,Beginner,39.74,9,0.3964,0.6068,0.7327,0.4238,0.4715,0.5119,0.3444,0.628,0.4203,0.4448,0.3995,0.511,0.4638,0.4816
23.0,Female,67.7,1.73,188.0,162.0,54.0,1.76,954.0,Yoga,18.0,3.2,3.0,Beginner,16.07,17,0.6576,0.5081,0.424,0.4229,0.3501,0.577,0.4997,0.3682,0.5751,0.4363,0.4375,0.4488,0.4572,0.4909
56.0,Female,40.0,1.74,172.0,146.0,74.0,1.43,876.0,Yoga,26.0,3.4,2.0,Beginner,19.63,13,0.687,0.6296,0.4386,0.5479,0.3187,0.4787,0.6164,0.3461,0.4586,0.5222,0.4853,0.3851,0.5071,0.4126
48.0,,68.0,1.69,185.0,144.0,68.0,1.23,695.0,Yoga,14.2,2.6,2.0,Beginner,28.93,10,0.469,0.6146,0.4055,0.4247,0.339,0.3517,0.4372,0.3953,0.4204,0.4298,0.4285,0.3753,0.4383,0.375
24.0,Male,68.3,1.74,184.0,161.0,51.0,1.9,566.0,Cardio,27.5,3.5,4.0,Beginner,16.26,16,0.6962,0.6144,0.6398,0.6188,0.4095,0.7465,0.6475,0.339,0.5254,0.5536,0.5151,0.4707,0.5512,0.5624
22.0,Female,99.1,1.72,182.0,169.0,62.0,1.14,1105.0,Yoga,31.4,3.6,4.0,Beginner,16.91,17,0.6577,0.6012,0.6991,0.5487,0.3138,0.4284,0.5939,0.3506,0.3966,0.5555,0.5485,0.3687,0.5528,0.5066
20.0,Female,72.9,1.63,164.0,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,Intermediate,19.83,16,0.6202,0.6782,0.8292,0.8341,0.2145,0.4384,0.6699,0.1878,0.3002,0.6589,0.6689,0.2749,0.6264,0.4974
44.0,Female,40.0,1.68,175.0,156.0,74.0,1.04,1010.0,Cardio,28.1,1.8,3.0,Advanced,12.32,29,0.8991,0.7724,0.9063,0.8281,0.0481,0.1864,0.8174,0.0749,0.2136,0.7942,0.7004,0.1266,0.786,0.5031
33.0,Female,58.3,1.77,167.0,153.0,74.0,1.41,969.0,Strength,29.5,2.6,2.0,Beginner,20.47,18,0.4073,0.6688,0.3633,0.4533,0.2371,0.6257,0.4715,0.2976,0.4612,0.4268,0.385,0.376,0.4048,0.3655
18.0,Male,40.0,1.64,177.0,134.0,53.0,0.98,468.0,\Nstrength,25.6,2.1,3.0,Advanced,18.78,24,0.9089,0.9086,0.888,0.7968,0.1454,0.2341,0.8496,0.1289,0.1084,0.821,0.7896,0.1472,0.8111,0.4963
59.0,Male,45.8,1.5,163.0,137.0,55.0,1.98,1306.0,\Tcardio,24.0,2.9,4.0,Intermediate,26.25,24,0.674,0.5865,0.6574,0.8231,0.1348,0.5242,0.652,0.176,0.4774,0.6094,0.5867,0.3043,0.6376,0.6145
27.0,Male,52.3,1.75,180.0,128.0,61.0,1.92,931.0,Strength,15.0,2.5,4.0,Intermediate,23.23,21,0.7324,0.6656,0.6955,0.8556,0.2178,0.4892,0.7351,0.1908,0.4486,0.6627,0.6184,0.3103,0.6878,0.5978
33.0,Female,76.3,1.95,188.0,125.0,72.0,0.95,899.0,Strength,21.7,2.3,5.0,Beginner,26.08,11,0.6596,0.6448,0.5922,0.5902,0.437,0.4423,0.6357,0.4078,0.3731,0.5532,0.4945,0.4115,0.5708,0.4423
47.0,Male,77.5,1.72,176.0,151.0,56.0,1.39,679.0,Cardio,13.3,3.5,2.0,Advanced,24.32,26,0.7912,0.8872,0.9226,0.76,0.1701,0.2595,0.8127,0.1741,0.1794,0.7839,0.7939,0.1848,0.769,0.5473
27.0,Male,96.3,1.61,198.0,159.0,70.0,1.16,1203.0,Cardio,32.1,3.1,3.0,Beginner,12.32,17,0.4686,0.6777,0.418,0.6708,0.2381,0.6559,0.5143,0.294,0.3639,0.4941,0.4238,0.3657,0.4659,0.3511
55.0,Female,68.4,1.85,175.0,150.0,58.0,1.16,1020.0,Cardio,29.2,2.5,4.0,Intermediate,22.87,17,0.7972,0.7694,0.8378,0.8387,0.3002,0.2707,0.7202,0.176,0.2267,0.7315,0.7191,0.2391,0.7463,0.561
18.0,Female,56.9,1.77,183.0,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,Intermediate,18.57,15,0.8194,0.8555,0.7212,0.6276,0.2257,0.4079,0.7746,0.2376,0.2662,0.7052,0.6862,0.2637,0.7164,0.5256
24.0,Male,47.6,1.51,175.0,120.0,70.0,0.78,583.0,Strength,22.6,1.7,5.0,Beginner,13.71,18,0.5355,0.4915,0.6089,0.438,0.2355,0.4938,0.4546,0.335,0.436,0.4489,0.3884,0.3744,0.4554,0.3903
26.0,Female,88.8,1.7,193.0,169.0,68.0,1.91,1145.0,Strength,18.1,3.7,2.0,Intermediate,30.34,23,0.7991,0.5695,0.8321,0.7163,0.1688,0.4769,0.6181,0.3076,0.4606,0.6382,0.5972,0.342,0.6244,0.5527
18.0,,67.5,1.69,177.0,169.0,72.0,1.07,975.0,,26.2,1.6,4.0,Advanced,14.08,30,0.7842,0.9022,0.813,0.8026,0.0731,0.3072,0.8133,0.1451,0.2038,0.7781,0.678,0.1636,0.7863,0.5214
29.0,Male,96.7,1.7,175.0,141.0,54.0,2.0,880.0,Yoga,32.9,2.3,2.0,Advanced,13.16,31,0.8709,0.8663,0.948,0.8158,0.1741,0.2861,0.8327,0.1749,0.3389,0.8094,0.7607,0.2174,0.8157,0.6219
26.0,,55.7,1.99,172.0,142.0,68.0,2.0,1583.0,Strength,18.9,3.2,4.0,Beginner,12.32,18,0.6241,0.4319,0.3732,0.656,0.1868,0.5034,0.5176,0.2605,0.602,0.4567,0.4153,0.3726,0.505,0.5574
43.0,Male,112.0,1.71,166.0,146.0,58.0,1.62,815.0,Hiit,31.2,2.6,3.0,Beginner,21.1,21,0.7152,0.6035,0.6521,0.4899,0.4109,0.4821,0.6379,0.3574,0.5115,0.5454,0.5285,0.4227,0.545,0.5226
48.0,Male,75.2,1.72,193.0,169.0,59.0,1.54,1726.0,Cardio,30.9,1.9,2.0,Beginner,18.64,15,0.719,0.6054,0.6966,0.6816,0.3059,0.6536,0.6553,0.3053,0.4917,0.589,0.506,0.412,0.5303,0.4329
29.0,Female,72.0,1.66,167.0,144.0,68.0,0.87,1248.0,Hiit,10.0,3.6,4.0,Advanced,17.55,16,0.7713,0.7445,0.7588,0.9334,0.147,0.2739,0.7413,0.1062,0.1552,0.7337,0.7219,0.1722,0.745,0.5007
22.0,Female,75.7,1.56,194.0,142.0,61.0,1.23,643.0,Strength,28.8,2.3,3.0,Advanced,13.93,18,0.8811,0.822,0.7892,0.9516,0.057,0.1649,0.8528,0.029,0.1498,0.8104,0.7584,0.0962,0.8181,0.5235
20.0,Male,59.1,1.62,191.0,127.0,54.0,1.02,995.0,,26.2,3.4,3.0,Beginner,12.46,8,0.5881,0.6823,0.7031,0.4979,0.3937,0.2893,0.5583,0.3888,0.3144,0.5538,0.5736,0.3519,0.5503,0.4392
39.0,Female,41.3,1.76,175.0,136.0,69.0,1.42,1096.0,Yoga,24.3,3.2,3.0,Intermediate,15.36,15,0.6479,0.7014,0.5832,0.8149,0.2138,0.3717,0.6444,0.159,0.3176,0.6236,0.5931,0.253,0.6369,0.4838
41.0,Male,40.0,1.77,176.0,148.0,65.0,1.03,1238.0,Yoga,11.6,1.9,5.0,Beginner,22.98,9,0.5769,0.6877,0.5576,0.6721,0.2735,0.5708,0.6393,0.2818,0.3616,0.5611,0.4934,0.3525,0.5588,0.4567
41.0,Female,63.7,1.93,195.0,155.0,61.0,1.18,1064.0,Hiit,21.2,3.4,4.0,Beginner,15.76,17,0.366,0.6086,0.3955,0.674,0.2466,0.4036,0.5017,0.2472,0.3719,0.4613,0.4778,0.3115,0.484,0.4535
20.0,Male,45.0,1.68,171.0,154.0,74.0,1.5,1692.0,Yoga,10.0,2.4,4.0,Beginner,12.32,11,0.5181,0.6023,0.4438,0.5803,0.3918,0.706,0.5698,0.4006,0.4886,0.4662,0.3686,0.4724,0.4688,0.44
26.0,Male,47.1,1.61,189.0,138.0,52.0,1.26,1095.0,Yoga,19.3,3.6,3.0,Advanced,29.91,26,0.9546,0.8435,0.7629,0.7195,0.1473,0.1149,0.8334,0.2299,0.1827,0.7794,0.7941,0.1718,0.8096,0.5539
37.0,Female,72.1,1.83,164.0,152.0,58.0,1.58,1091.0,Cardio,34.4,3.3,4.0,Intermediate,16.92,20,0.8186,0.7235,0.6327,0.7833,0.2923,0.3775,0.7683,0.2262,0.3537,0.677,0.6562,0.2971,0.7103,0.5919
59.0,Male,57.5,1.81,175.0,169.0,58.0,1.47,1349.0,Cardio,24.7,2.5,5.0,Intermediate,12.32,23,0.7642,0.7257,0.6642,0.6427,0.3091,0.274,0.7151,0.2782,0.3271,0.6448,0.6183,0.292,0.7105,0.6256
22.0,Male,54.3,1.85,165.0,144.0,53.0,2.0,1740.0,\Tcardio,26.6,3.7,4.0,Intermediate,20.04,25,0.7593,0.7638,0.6801,0.8446,0.3017,0.3694,0.708,0.2199,0.3403,0.6886,0.7048,0.2899,0.7425,0.6752
25.0,Male,63.9,1.67,178.0,144.0,61.0,1.56,868.0,Strength,24.8,2.4,3.0,Intermediate,24.51,25,0.6391,0.6636,0.8441,0.7004,0.2816,0.3519,0.6359,0.2632,0.3285,0.6334,0.624,0.3027,0.6399,0.5523
32.0,Male,56.6,2.0,190.0,123.0,65.0,1.25,1309.0,Hiit,14.7,3.5,4.0,Advanced,17.83,29,0.8327,0.9032,0.7859,0.8991,0.082,0.1598,0.7968,0.0938,0.0988,0.8054,0.7948,0.1051,0.843,0.5686
29.0,Female,95.3,1.72,190.0,169.0,74.0,1.49,733.0,Hiit,29.2,3.7,5.0,Advanced,20.06,26,0.8381,0.8839,0.8598,0.7512,0.0805,0.2927,0.8129,0.1041,0.2094,0.7832,0.7497,0.1529,0.8309,0.6577
30.0,Female,96.3,2.0,173.0,136.0,74.0,2.0,1095.0,Hiit,20.4,1.5,5.0,Intermediate,25.83,27,0.7154,0.7651,0.7152,0.6332,0.2692,0.3208,0.6859,0.238,0.3891,0.6502,0.5797,0.2847,0.731,0.6701
33.0,Male,60.5,1.54,195.0,126.0,56.0,1.27,1237.0,Cardio,29.1,3.7,4.0,Intermediate,21.23,24,0.6519,0.581,0.8466,0.8149,0.2472,0.2317,0.6332,0.1684,0.3078,0.6417,0.695,0.2467,0.6641,0.5664
54.0,,56.3,1.59,172.0,169.0,68.0,1.47,936.0,Cardio,19.6,3.1,4.0,Intermediate,18.7,19,0.6047,0.8206,0.8134,0.5918,0.1248,0.5377,0.6301,0.2016,0.32,0.6449,0.6002,0.2652,0.6452,0.5597
49.0,Male,45.0,1.84,190.0,159.0,53.0,1.3,864.0,Hiit,26.5,1.5,4.0,Intermediate,17.11,26,0.8673,0.6081,0.7032,0.7931,0.1624,0.327,0.761,0.1875,0.3026,0.6783,0.6287,0.2468,0.6923,0.5387
53.0,Male,87.7,1.84,164.0,152.0,53.0,1.37,1066.0,Cardio,24.7,2.6,5.0,Intermediate,25.16,27,0.7592,0.6454,0.6325,0.7412,0.2879,0.3055,0.6542,0.2157,0.3336,0.6258,0.6358,0.2833,0.6864,0.6067
54.0,Female,46.1,1.85,187.0,162.0,63.0,1.35,772.0,Strength,25.7,3.6,4.0,Beginner,20.62,15,0.4155,0.6554,0.7233,0.6123,0.3275,0.5425,0.545,0.3038,0.4412,0.5257,0.5296,0.3822,0.5161,0.515
18.0,Female,69.8,1.82,178.0,168.0,58.0,1.9,963.0,Hiit,31.4,3.7,5.0,Intermediate,34.21,19,0.5442,0.623,0.6973,0.5927,0.1954,0.3935,0.5155,0.3384,0.4948,0.546,0.5584,0.341,0.621,0.6745
18.0,Male,79.2,1.77,198.0,137.0,66.0,1.2,1429.0,Yoga,12.9,3.7,3.0,Intermediate,19.07,13,0.7544,0.7488,0.7142,0.7402,0.2715,0.4078,0.7102,0.213,0.2493,0.6709,0.6532,0.2758,0.661,0.461
29.0,Male,60.6,1.76,188.0,148.0,50.0,1.38,676.0,Strength,30.2,2.5,3.0,Beginner,23.73,15,0.7113,0.6917,0.7284,0.4295,0.3651,0.2813,0.6026,0.397,0.3557,0.5807,0.6021,0.3508,0.5917,0.5276
22.0,Female,53.3,1.73,172.0,144.0,71.0,1.1,1235.0,Strength,22.8,2.6,3.0,Beginner,13.13,18,0.3845,0.6232,0.6135,0.4896,0.2958,0.4727,0.4662,0.3055,0.3525,0.4645,0.4281,0.3507,0.4478,0.3987
20.0,Male,95.7,1.85,196.0,136.0,58.0,1.44,987.0,Hiit,23.8,1.5,3.0,Intermediate,15.47,25,0.6803,0.6493,0.8437,0.7956,0.1978,0.3313,0.6851,0.1971,0.3563,0.6667,0.6176,0.2634,0.6604,0.5118
47.0,Male,87.3,1.9,194.0,164.0,74.0,1.87,1073.0,Hiit,23.7,3.5,5.0,Intermediate,20.1,22,0.8876,0.8512,0.5969,0.7527,0.2223,0.3299,0.7807,0.2472,0.2943,0.7227,0.6752,0.2547,0.7985,0.669
18.0,Male,79.2,1.66,176.0,154.0,72.0,1.58,1493.0,Strength,18.1,2.3,3.0,Beginner,14.27,13,0.4374,0.676,0.6267,0.6623,0.4312,0.3497,0.5051,0.3568,0.3932,0.526,0.491,0.3762,0.5466,0.5122
18.0,Male,73.8,1.75,187.0,149.0,74.0,1.64,1065.0,Hiit,17.7,2.4,3.0,Beginner,17.79,14,0.4092,0.6526,0.4768,0.6169,0.4652,0.5785,0.5405,0.4049,0.4886,0.4694,0.4175,0.4615,0.4752,0.4474
33.0,Female,66.3,1.76,164.0,120.0,74.0,1.44,419.0,,25.4,2.6,3.0,Advanced,20.67,31,1.0,0.8262,0.9833,0.8212,0.0964,0.2018,0.8332,0.0972,0.233,0.8402,0.781,0.146,0.8468,0.5772
27.0,Male,72.8,1.82,162.0,136.0,57.0,1.23,780.0,Hiit,11.4,3.5,4.0,Advanced,22.59,32,0.977,0.8106,0.9091,0.8687,0.0673,0.0886,0.8239,0.1114,0.184,0.8328,0.8519,0.1145,0.867,0.6346
38.0,Male,50.0,1.75,186.0,135.0,59.0,2.0,695.0,Strength,23.4,1.6,4.0,Beginner,49.84,17,0.267,0.5049,0.3935,0.4257,0.3653,0.8503,0.2687,0.645,0.6465,0.31,0.2334,0.6014,0.3441,0.4458
29.0,Female,93.5,1.85,166.0,167.0,74.0,1.01,670.0,Cardio,23.2,2.6,3.0,Beginner,19.83,11,0.5145,0.7221,0.6408,0.6306,0.3097,0.5498,0.6095,0.3139,0.3179,0.561,0.4969,0.357,0.5182,0.408
